,class_subclass,sic
333,345087000,27.0
334,345087000,43.0
335,516098000,13.0
336,423461000,6.0
337,705037000,27.0
338,424400000,9.0
339,424400000,14.0
340,435007230,14.0
341,435007230,55.0
342,623017110,55.0
344,702050000,55.0
345,297016200,56.0
347,206264000,21.0
348,206264000,56.0
351,294001300,21.0
354,522074000,7.0
355,104242000,19.0
356,104242000,50.0
357,343797000,43.0
358,434308000,43.0
359,434308000,56.0
360,250288000,55.0
361,347241000,27.0
362,455522000,42.0
363,455522000,43.0
365,709225000,27.0
366,530387100,7.0
367,530387100,14.0
368,367018000,43.0
369,800314000,56.0
370,367098000,43.0
371,123470000,23.0
372,123470000,46.0
373,123470000,54.0
374,148111000,19.0
375,719321000,27.0
376,706010000,27.0
377,188073100,24.0
378,188073100,32.0
379,188073100,46.0
380,188073100,50.0
381,188073100,51.0
382,188073100,52.0
383,188073100,54.0
385,405186000,25.0
386,405186000,56.0
387,252079100,13.0
389,522001000,7.0
390,435194000,7.0
391,514012000,9.0
392,514012000,14.0
393,405036000,56.0
394,348155000,43.0
395,348155000,55.0
396,210450000,30.0
397,210450000,31.0
398,198468600,25.0
399,428620000,21.0
400,428620000,30.0
401,435180000,7.0
402,439067000,43.0
403,222082000,16.0
404,222082000,21.0
405,222082000,56.0
406,514310000,9.0
407,514310000,14.0
408,424001170,14.0
409,372020000,35.0
410,372020000,55.0
412,428701000,17.0
413,711114000,27.0
414,423263000,6.0
415,409132000,26.0
416,428323000,2.0
417,428323000,16.0
418,428323000,56.0
419,455575100,43.0
420,435069500,14.0
421,338042000,36.0
422,338042000,43.0
423,525125000,8.0
424,525125000,16.0
425,307126000,35.0
426,525240000,8.0
427,525240000,16.0
428,162261000,29.0
429,162216000,56.0
430,162140000,56.0
432,428429000,16.0
433,428429000,17.0
434,370231000,43.0
435,358003010,27.0
436,424078080,11.0
437,424078080,14.0
438,428304400,56.0
439,128204230,55.0
440,607088000,40.0
441,607088000,55.0
443,435320100,7.0
444,435320100,14.0
445,530388300,7.0
446,530388300,14.0
447,707001000,27.0
448,422130000,29.0
449,368047000,55.0
450,422102000,55.0
451,382128000,27.0
452,367085000,43.0
453,367085000,55.0
454,536023100,7.0
455,228122100,26.0
456,455433000,43.0
457,709226000,27.0
458,239135000,24.0
459,239135000,25.0
460,239135000,30.0
461,239135000,31.0
462,514170000,9.0
463,514170000,14.0
464,424070130,11.0
465,702123000,55.0
466,514178000,9.0
467,514178000,14.0
468,324601000,35.0
469,526116000,8.0
470,341058000,27.0
471,341058000,43.0
472,261039100,21.0
473,261039100,30.0
474,261039100,32.0
475,261039100,38.0
476,514411000,9.0
477,514411000,14.0
478,424490000,9.0
479,424490000,14.0
480,434155000,56.0
481,429013000,36.0
482,435223000,14.0
483,704270000,27.0
484,704270000,56.0
485,536023500,7.0
486,422099000,55.0
487,705051000,27.0
488,424249100,14.0
490,424725000,14.0
491,210646000,31.0
492,210646000,55.0
493,726001000,27.0
494,438710000,43.0
495,424204100,14.0
496,709245000,27.0
497,369013010,43.0
499,424489000,9.0
500,424489000,14.0
501,379357010,43.0
502,455448000,43.0
503,160008000,40.0
504,424078100,11.0
505,424078100,14.0
506,267064270,30.0
507,267064270,46.0
508,424207100,14.0
509,800015000,14.0
510,800015000,56.0
512,156344000,16.0
513,156344000,17.0
514,156344000,21.0
516,706015000,27.0
517,514558000,9.0
518,514558000,14.0
519,502150000,7.0
520,424133100,14.0
521,712214000,27.0
522,623006110,55.0
523,424282100,14.0
524,235380000,27.0
525,369273000,42.0
526,369273000,43.0
527,426393000,1.0
528,12302500E,23.0
529,12302500E,46.0
530,12302500E,54.0
531,514243000,9.0
532,514243000,14.0
533,137412000,21.0
534,548377100,7.0
536,528044000,8.0
537,369112050,43.0
538,362364000,39.0
539,501058000,17.0
541,725105000,43.0
542,705010000,27.0
543,252387000,13.0
544,340003410,43.0
545,424649000,9.0
546,424649000,14.0
547,423657000,6.0
548,568008000,7.0
550,392394000,30.0
551,392394000,38.0
552,536023200,7.0
553,228235200,26.0
554,175267000,25.0
555,381310000,42.0
556,381310000,43.0
557,427385500,56.0
558,385002000,43.0
559,435007930,14.0
560,435007930,55.0
561,800024000,14.0
562,800024000,56.0
563,404082000,56.0
564,303003000,25.0
565,303003000,32.0
566,303003000,46.0
567,303003000,50.0
568,303003000,51.0
569,303003000,52.0
570,303003000,54.0
571,514317000,9.0
572,514317000,14.0
573,442059000,2.0
574,297331000,56.0
575,382232000,27.0
576,711141000,27.0
577,451102000,29.0
578,451102000,30.0
579,417415000,30.0
580,148420000,20.0
581,435007950,14.0
582,435007950,55.0
583,385011000,55.0
584,514062000,9.0
585,514062000,14.0
586,219746000,30.0
587,219746000,31.0
588,219746000,38.0
589,536024330,7.0
590,549467000,7.0
591,435015000,14.0
592,435015000,55.0
593,607116000,40.0
594,607116000,55.0
595,252301160,13.0
596,204242000,29.0
597,380037000,27.0
598,380037000,43.0
600,710036000,27.0
601,427002100,55.0
602,514335000,9.0
603,514335000,14.0
604,164312000,29.0
605,210483000,30.0
606,210483000,31.0
607,382162000,27.0
608,424401000,9.0
609,424401000,14.0
610,713186000,27.0
611,525178000,8.0
612,525178000,16.0
614,424001690,14.0
615,370389000,43.0
616,709222000,27.0
617,716016000,27.0
618,514009000,9.0
619,514009000,14.0
620,353052000,55.0
621,713600000,27.0
622,710052000,27.0
624,110214000,21.0
625,342159000,43.0
626,359461000,55.0
627,715513000,27.0
628,439559000,43.0
629,435471000,14.0
630,709218000,27.0
